# cribbage-zero — net win% vs hard (10000 balanced games)
games,winPct
11479,1
22684,1.3
47042,1.4
65083,1.8
84129,1.7
40000,1.6
160000,2.9
200000,3.1
370000,4.2
500500,3.4
585500,5.1
668500,6.2
798500,6.5
918500,7.3
1041500,12.6
1061500,12.9
1081500,14.1
1111500,13.4
1121500,14.1
1251500,15.3
1402000,15.7
1412000,15.6
1442000,15.6
1710000,22.4
1780000,23
1800000,22.1
1810000,22.4
1820000,22.8
1847000,22.6
1867000,22.4
1877000,22.9
1967000,23.4
2039000,23.3
2049000,23.9
2059000,23.8
2269000,25.2
2329000,25.9
2339000,25.9
2567500,25.1
2666000,25.9
2676000,25.8
2686000,26.1
2816000,27.2
2846000,27
2866000,27.2
2876000,27.4
2876000,27.3
2896000,27.2
2906000,27.4
2926000,28
2946000,27.4
2956000,27.6
3000000,27.6
